#separator:semicolon
#html:false
#notetype:Basic
#deck:Finnish::Core Verbs

olla – present tense (all persons);olen / olet / on / olemme / olette / ovat
nukkua – negative forms (minä);present: en nuku / imperfect: en nukkunut / perfect: en ole nukkunut
Translate to Finnish: I sleep well. / Do you sleep enough? / She slept for a long time. / We are not sleeping yet. / The children are already asleep.;Nukun hyvin. / Nukutko tarpeeksi? / Hän nukkui pitkään. / Emme nuku vielä. / Lapset nukkuvat jo.
Translate to Finnish: Yesterday I was tired and went to bed early. I slept for eight hours. Today I will surely sleep well again.;Eilen olin väsynyt ja menin aikaisin nukkumaan. Nukuin kahdeksan tuntia. Tänään nukun varmasti hyvin taas.

syödä – present tense (all persons);syön / syöt / syö / syömme / syötte / syövät
syödä – past tense (all persons);söin / söit / söi / söimme / söitte / söivät
syödä – spoken Finnish (all persons);mä syön / sä syöt / se syö / me syödään / te syötte / ne syö
syödä – negative forms (minä);present: en syö / imperfect: en syönyt / perfect: en ole syönyt
Translate to Finnish: I eat porridge in the morning. / What are you eating for lunch? / She ate bread. / We eat together. / The children are eating dinner.;Syön aamulla puuroa. / Mitä syöt lounaaksi? / Hän söi leipää. / Syömme yhdessä. / Lapset syövät päivällistä.
Translate to Finnish: Today I am eating at home. I am eating soup and bread. Yesterday I ate at a restaurant with my friend.;Tänään syön kotona. Syön keittoa ja leipää. Eilen söin ravintolassa ystäväni kanssa.

juoda – present tense (all persons);juon / juot / juo / juomme / juotte / juovat
juoda – past tense (all persons);join / joit / joi / joimme / joitte / joivat
juoda – spoken Finnish (all persons);mä juon / sä juot / se juo / me juodaan / te juotte / ne juo
juoda – negative forms (minä);present: en juo / imperfect: en juonut / perfect: en ole juonut
Translate to Finnish: I drink water. / Do you drink coffee? / She drank tea. / We drink juice in the morning. / They drank together.;Juon vettä. / Juotko kahvia? / Hän joi teetä. / Juomme mehua aamulla. / He joivat yhdessä.
Translate to Finnish: In the morning I drink coffee. During the day I drink a lot of water. Yesterday I also drank tea in the evening.;Aamulla juon kahvia. Päivällä juon paljon vettä. Eilen join myös teetä illalla.

ymmärtää – present tense (all persons);ymmärrän / ymmärrät / ymmärtää / ymmärrämme / ymmärrätte / ymmärtävät
ymmärtää – past tense (all persons);ymmärsin / ymmärsit / ymmärsi / ymmärsimme / ymmärsitte / ymmärsivät
ymmärtää – spoken Finnish (all persons);mä ymmärrän / sä ymmärrät / se ymmärtää / me ymmärretään / te ymmärrätte / ne ymmärtää
ymmärtää – negative forms (minä);present: en ymmärrä / imperfect: en ymmärtänyt / perfect: en ole ymmärtänyt
Translate to Finnish: I don't understand. / Do you understand this? / She understood the question. / We understand a little Finnish. / They did not understand the instructions.;En ymmärrä. / Ymmärrätkö tämän? / Hän ymmärsi kysymyksen. / Ymmärrämme vähän suomea. / He eivät ymmärtäneet ohjeita.
Translate to Finnish: The teacher spoke slowly. I understood most of it. Now I understand the task better.;Opettaja puhui hitaasti. Ymmärsin suurimman osan. Nyt ymmärrän tehtävän paremmin.

muistaa – present tense (all persons);muistan / muistat / muistaa / muistamme / muistatte / muistavat
muistaa – past tense (all persons);muistin / muistit / muisti / muistimme / muistitte / muistivat
muistaa – spoken Finnish (all persons);mä muistan / sä muistat / se muistaa / me muistetaan / te muistatte / ne muistaa
muistaa – negative forms (minä);present: en muista / imperfect: en muistanut / perfect: en ole muistanut
Translate to Finnish: I remember your name. / Do you remember the keys? / She remembered the birthday. / We did not remember the time. / Remember to take a coat!;Muistan nimesi. / Muistatko avaimet? / Hän muisti syntymäpäivän. / Emme muistaneet aikaa. / Muista ottaa takki!
Translate to Finnish: I remember a new word today. I wrote it in my notebook. Tomorrow I may remember it even better.;Muistan uuden sanan tänään. Kirjoitin sen vihkoon. Huomenna muistan sen ehkä vielä paremmin.

unohtaa – present tense (all persons);unohdan / unohdat / unohtaa / unohdamme / unohdatte / unohtavat
unohtaa – past tense (all persons);unohdin / unohdit / unohti / unohdimme / unohditte / unohtivat
unohtaa – spoken Finnish (all persons);mä unohdan / sä unohdat / se unohtaa / me unohdetaan / te unohdatte / ne unohtaa
unohtaa – negative forms (minä);present: en unohda / imperfect: en unohtanut / perfect: en ole unohtanut
Translate to Finnish: I forgot my phone at home. / Don't forget the keys. / She always forgets the name. / We forgot to buy milk. / Do you remember or did you forget?;Unohdin puhelimeni kotiin. / Älä unohda avaimia. / Hän unohtaa aina nimen. / Unohdimme ostaa maitoa. / Muistatko vai unohditko?
Translate to Finnish: Yesterday I forgot my bus card at home. I remembered it only at the bus stop. Today I will not forget it.;Unohdin eilen bussikorttini kotiin. Muistin sen vasta bussipysäkillä. Tänään en unohda sitä.

osata – present tense (all persons);osaan / osaat / osaa / osaamme / osaatte / osaavat
osata – past tense (all persons);osasin / osasit / osasi / osasimme / osasitte / osasivat
osata – spoken Finnish (all persons);mä osaan / sä osaat / se osaa / me osataan / te osaatte / ne osaa
osata – negative forms (minä);present: en osaa / imperfect: en osannut / perfect: en ole osannut
Translate to Finnish: I know a little Finnish. / Can you swim? / She knew how to help. / We know how to cook. / They do not know how to answer.;Osaan vähän suomea. / Osaatko uida? / Hän osasi auttaa. / Osaamme tehdä ruokaa. / He eivät osaa vastata.
Translate to Finnish: I did not know how to speak Finnish before. Now I can say many words. I want to know more tomorrow.;En osannut puhua suomea ennen. Nyt osaan sanoa monta sanaa. Haluan osata enemmän huomenna.

opiskella – present tense (all persons);opiskelen / opiskelet / opiskelee / opiskelemme / opiskelette / opiskelevat
opiskella – past tense (all persons);opiskelin / opiskelit / opiskeli / opiskelimme / opiskelitte / opiskelivat
opiskella – spoken Finnish (all persons);mä opiskelen / sä opiskelet / se opiskelee / me opiskellaan / te opiskelette / ne opiskelee
opiskella – negative forms (minä);present: en opiskele / imperfect: en opiskellut / perfect: en ole opiskellut
Translate to Finnish: I study Finnish. / Where do you study? / She studied all evening. / We study together. / They study at school.;Opiskelen suomea. / Missä opiskelet? / Hän opiskeli koko illan. / Opiskelemme yhdessä. / He opiskelevat koulussa.
Translate to Finnish: I study Finnish every day. Yesterday I studied new words. Today I am studying verbs.;Opiskelen suomea joka päivä. Eilen opiskelin uusia sanoja. Tänään opiskelen verbejä.

oppia – present tense (all persons);opin / opit / oppii / opimme / opitte / oppivat
oppia – past tense (all persons);opin / opit / oppi / opimme / opitte / oppivat
oppia – spoken Finnish (all persons);mä opin / sä opit / se oppii / me opitaan / te opitte / ne oppii
oppia – negative forms (minä);present: en opi / imperfect: en oppinut / perfect: en ole oppinut
Translate to Finnish: I learn new words. / You learn quickly. / She learned a lot yesterday. / We learn together. / Children learn by playing.;Opin uusia sanoja. / Opit nopeasti. / Hän oppi paljon eilen. / Opimme yhdessä. / Lapset oppivat leikkimällä.
Translate to Finnish: I learn one new verb today. I wrote it in my notebook. I hope that I learn it well.;Opin yhden uuden verbin tänään. Kirjoitin sen vihkoon. Toivon, että opin sen hyvin.

vastata – present tense (all persons);vastaan / vastaat / vastaa / vastaamme / vastaatte / vastaavat
vastata – past tense (all persons);vastasin / vastasit / vastasi / vastasimme / vastasitte / vastasivat
vastata – spoken Finnish (all persons);mä vastaan / sä vastaat / se vastaa / me vastataan / te vastaatte / ne vastaa
vastata – negative forms (minä);present: en vastaa / imperfect: en vastannut / perfect: en ole vastannut
Translate to Finnish: I answer the question. / Will you answer me? / She answered correctly. / We will answer soon. / They did not answer.;Vastaan kysymykseen. / Vastaatko minulle? / Hän vastasi oikein. / Vastaamme pian. / He eivät vastanneet.
Translate to Finnish: The teacher asked me a question. I answered slowly in Finnish. The teacher said that I answered well.;Opettaja kysyi minulta kysymyksen. Vastasin hitaasti suomeksi. Opettaja sanoi, että vastasin hyvin.

istua – present tense (all persons);istun / istut / istuu / istumme / istutte / istuvat
istua – past tense (all persons);istuin / istuit / istui / istuimme / istuitte / istuivat
istua – spoken Finnish (all persons);mä istun / sä istut / se istuu / me istutaan / te istutte / ne istuu
istua – negative forms (minä);present: en istu / imperfect: en istunut / perfect: en ole istunut
Translate to Finnish: I sit in the kitchen. / Will you sit here? / He sat on the bus. / We sit by the window. / They sit in the park.;Istun keittiössä. / Istutko tässä? / Hän istui bussissa. / Istumme ikkunan vieressä. / He istuvat puistossa.
Translate to Finnish: In the morning I sit in the kitchen and drink coffee. Yesterday I sat on the balcony for a long time. Today I sit beside a friend.;Istun aamulla keittiössä ja juon kahvia. Eilen istuin pitkään parvekkeella. Tänään istun ystävän vieressä.

seisoa – present tense (all persons);seison / seisot / seisoo / seisomme / seisotte / seisovat
seisoa – past tense (all persons);seisoin / seisoit / seisoi / seisoimme / seisoitte / seisoivat
seisoa – spoken Finnish (all persons);mä seison / sä seisot / se seisoo / me seistään / te seisotte / ne seisoo
seisoa – negative forms (minä);present: en seiso / imperfect: en seisonut / perfect: en ole seisonut
Translate to Finnish: I stand in front of the door. / Are you standing in line? / She stood at the bus stop. / We stand together. / They stand outside.;Seison oven edessä. / Seisotko jonossa? / Hän seisoi pysäkillä. / Seisomme yhdessä. / He seisovat ulkona.
Translate to Finnish: I stand at the bus stop every morning. Yesterday I stood there for ten minutes. Now I am standing in the warm sun.;Seison bussipysäkillä joka aamu. Eilen seisoin siellä kymmenen minuuttia. Nyt seison lämpimässä auringossa.

pyytää – present tense (all persons);pyydän / pyydät / pyytää / pyydämme / pyydätte / pyytävät
pyytää – past tense (all persons);pyysin / pyysit / pyysi / pyysimme / pyysitte / pyysivät
pyytää – spoken Finnish (all persons);mä pyydän / sä pyydät / se pyytää / me pyydetään / te pyydätte / ne pyytää
pyytää – negative forms (minä);present: en pyydä / imperfect: en pyytänyt / perfect: en ole pyytänyt
Translate to Finnish: I ask for help. / Will you ask for the bill? / She asked for coffee. / We apologize. / They request more information.;Pyydän apua. / Pyydätkö laskun? / Hän pyysi kahvia. / Pyydämme anteeksi. / He pyytävät lisätietoja.
Translate to Finnish: I ask for help in the shop. Yesterday I asked the salesperson for advice. She said that I can always ask for help.;Pyydän kaupassa apua. Eilen pyysin myyjältä neuvoa. Hän sanoi, että voin aina pyytää apua.

kertoa – present tense (all persons);kerron / kerrot / kertoo / kerromme / kerrotte / kertovat
kertoa – past tense (all persons);kerroin / kerroit / kertoi / kerroimme / kerroitte / kertoivat
kertoa – spoken Finnish (all persons);mä kerron / sä kerrot / se kertoo / me kerrotaan / te kerrotte / ne kertoo
kertoa – negative forms (minä);present: en kerro / imperfect: en kertonut / perfect: en ole kertonut
Translate to Finnish: I will tell you the news. / Will you tell me your name? / He told a story. / We will tell you about it tomorrow. / They tell the truth.;Kerron sinulle uutisen. / Kerrotko nimesi? / Hän kertoi tarinan. / Kerromme asiasta huomenna. / He kertovat totuuden.
Translate to Finnish: I tell my friend about my day. Yesterday I told her a funny story. Tomorrow I will tell her more.;Kerron ystävälle päivästäni. Eilen kerroin hänelle hauskan tarinan. Huomenna kerron lisää.

keskustella – present tense (all persons);keskustelen / keskustelet / keskustelee / keskustelemme / keskustelette / keskustelevat
keskustella – past tense (all persons);keskustelin / keskustelit / keskusteli / keskustelimme / keskustelitte / keskustelivat
keskustella – spoken Finnish (all persons);mä keskustelen / sä keskustelet / se keskustelee / me keskustellaan / te keskustelette / ne keskustelee
keskustella – negative forms (minä);present: en keskustele / imperfect: en keskustellut / perfect: en ole keskustellut
Translate to Finnish: I talk with the teacher. / Will you discuss the matter? / She talked for a long time. / We talk in Finnish. / They discuss work.;Keskustelen opettajan kanssa. / Keskusteletko asiasta? / Hän keskusteli pitkään. / Keskustelemme suomeksi. / He keskustelevat työstä.
Translate to Finnish: I often chat with my neighbor. Yesterday we talked about the weather. It is nice to talk in Finnish.;Keskustelen usein naapurin kanssa. Eilen keskustelimme säästä. On mukava keskustella suomeksi.

herätä – present tense (all persons);herään / heräät / herää / heräämme / heräätte / heräävät
herätä – past tense (all persons);heräsin / heräsit / heräsi / heräsimme / heräsitte / heräsivät
herätä – spoken Finnish (all persons);mä herään / sä heräät / se herää / me herätään / te heräätte / ne herää
herätä – negative forms (minä);present: en herää / imperfect: en herännyt / perfect: en ole herännyt
Translate to Finnish: I wake up at seven. / Do you wake up early? / She woke up at night. / We wake up to the alarm. / They wake up late.;Herään seitsemältä. / Heräätkö aikaisin? / Hän heräsi yöllä. / Heräämme kellon soittoon. / He heräävät myöhään.
